ASTRONAUT	O=iifrd∅/bm--3-1EEEx2Eii<3FFE=4FFEU<EE--∅/------1iEE=2iEE=3iEE=4iEE
AT	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO=iEfrd∅/rp-2--1iFi<2FFF=3FFF=4FFF
ATHLETE	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
(PAY) ATTENTION	L{EE--∅/------1EEE=2EEE=3EEE=4EEE
ATTITUDE	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
AUDIENCE	L{EE--∅/------1Eii{2Eii{3Eii{4Eii
AUDITORIUM (v.1)	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFFO{iifrd∅/bd--3-1EEE=2EEE<3iii=4iiiO{iitd∅/td-2--1EEE<2iii=3FFF=4FFF
AUDITORIUM (v.2)	O{iitd∅/td1---1iii{2iEE{3EEE{4EEE
AUNT	U=EEfrd∅/rp1---1FFF=2FFF=3FFF=4FFF
AUTOMATIC (v.1)	O=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFFO=iifrd∅/bm-2--1EEE<2FFF=3FFF=4FFF
AUTOMATIC (v.2)	O=iifrd∅/bm-2--1EFi<2FFF=3FFF=4FFF
BIND (v. 1)	O=EEtd∅/frm1---1iFF<2FFF=3FFF=4FFF
BIND (v. 2)	U<EE--∅/------1Fii=2Fii=3Fii=4FiiL{EE--∅/------1EEE=2EEE=3EEE=4EEE
